INSTRUCTION,CONTEXT,RESPONSE
Give information about system softwares.,"1. Only licensed software shall be purchased and used across the Organization.

2. Subscription based software shall be purchased/renewed with minimum 3 years subscription, Upgradation, maintenance and support option or as per requirements.

3. Any support options like ability to access updates and bug fixes, manuals and other reference material, workshops, pre-release seminars, training, technical support, helpdesk and other support facilities etc. should be carefully documented/ recorded by IT&C Division of respective locations to enable later use or renewal.

4. Purchase of specialized license Software, commonly required by all locations viz. Anti-virus etc, shall be done by IT&C Division of Corporate Office for the purpose of standardization, legal/ Cyber Security compliance.

5. The specialized technical/ Engineering software whose requirements are limited to only a few Divisions shall be approved by the HOD of the concerned Division/ HOP of location and shall be purchased by the respective Procurement Division.","1. Only licensed software shall be purchased and used across the Organization.

2. Subscription based software shall be purchased/renewed with minimum 3 years subscription, Upgradation, maintenance and support option or as per requirements.

3. Any support options like ability to access updates and bug fixes, manuals and other reference material, workshops, pre-release seminars, training, technical support, helpdesk and other support facilities etc. should be carefully documented/ recorded by IT&C Division of respective locations to enable later use or renewal.

4. Purchase of specialized license Software, commonly required by all locations viz. Anti-virus etc, shall be done by IT&C Division of Corporate Office for the purpose of standardization, legal/ Cyber Security compliance.

5. The specialized technical/ Engineering software whose requirements are limited to only a few Divisions shall be approved by the HOD of the concerned Division/ HOP of location and shall be purchased by the respective Procurement Division."
Give information about internet access and email usage facility.,"1. E-Mail Facility
The e-mail facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy"".

2. Internet Facility
The Internet Facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy"".","1. E-Mail Facility
The e-mail facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy"".

2. Internet Facility
The Internet Facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy""."
Give information about email facility.,"The e-mail facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 ""Internet Access and Email Usage Policy"".","The e-mail facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 ""Internet Access and Email Usage Policy""."
Give information about internet facility.,"The Internet Facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy"".","The Internet Facility to the employees in the Corporation shall be provided as per Cyber Security Policy clause 6 “Internet Access and Email Usage Policy""."
Give information about official communication expenses.,"1. ""Scheme for reimbursement of “Official Communication Expenses” has been introduced by HR Division vide Part-I Office Order no. 134/2023 dated 27.01.2023 to facilitate better communication amongst employees across NHPC. 

2. Under this scheme Executives and non-Executives are allowed to claim reimbursement of rentals and call charges for mobile/ residential landline telephone/ internet charges etc. within their entitled amount as per aforesaid HR Division circular.","1. ""Scheme for reimbursement of “Official Communication Expenses” has been introduced by HR Division vide Part-I Office Order no. 134/2023 dated 27.01.2023 to facilitate better communication amongst employees across NHPC. 

2. Under this scheme Executives and non-Executives are allowed to claim reimbursement of rentals and call charges for mobile/ residential landline telephone/ internet charges etc. within their entitled amount as per aforesaid HR Division circular."
Give information about it hardware for residential office and workspace of employees.,"1. ""Scheme for reimbursement of Furniture/ Furnishings” has been introduced by HR Division vide Part-I Office Order no. 133/2023 dated 27.01.2023 for creating dedicated workspace at residence to efficiently perform the duties.

2. Under this scheme regular employees of the Corporation can purchase IT hardware for Residential-Office/workspace as per their requirements.","1. ""Scheme for reimbursement of Furniture/ Furnishings” has been introduced by HR Division vide Part-I Office Order no. 133/2023 dated 27.01.2023 for creating dedicated workspace at residence to efficiently perform the duties.

2. Under this scheme regular employees of the Corporation can purchase IT hardware for Residential-Office/workspace as per their requirements."
Give information about it consumables.,"1. Divisions at the locations will send their requirements of IT related Consumables such as Printer cartridges/toners etc. once in every six months to IT&C Division of the location for consolidation and procurement. Efforts to be made to minimize the requirements.

2. IT&C Division of concerned location shall consolidate the requirements of IT related consumables for the location.

3. After consolidation, approved requirements shall be sent to Procurement Division of the location for procurement.

4. Urgent requirements, shall be dealt by the respective Divisions themselves & budget shall be provided by IT&C Division of the respective location.

5. It is suggested that IT Consumables (cartridges/ toners etc) may be purchased through GeM with staggered delivery option, as it provides the benefit of bulk procurement with the flexibility of deliveries from authorized vendors with genuineness/ shelf life of material and price protection over a period of time.","1. Divisions at the locations will send their requirements of IT related Consumables such as Printer cartridges/toners etc. once in every six months to IT&C Division of the location for consolidation and procurement. Efforts to be made to minimize the requirements.

2. IT&C Division of concerned location shall consolidate the requirements of IT related consumables for the location.

3. After consolidation, approved requirements shall be sent to Procurement Division of the location for procurement.

4. Urgent requirements, shall be dealt by the respective Divisions themselves & budget shall be provided by IT&C Division of the respective location.

5. It is suggested that IT Consumables (cartridges/ toners etc) may be purchased through GeM with staggered delivery option, as it provides the benefit of bulk procurement with the flexibility of deliveries from authorized vendors with genuineness/ shelf life of material and price protection over a period of time."
Give informaion about NHPC network accessibility.,"1. This shall enable the employees to access NHPC’s IT-Network, applications, email services etc. from anywhere using internet.

2. To access these services, secured access of NHPC IT-Network through SSL-VPN with MFA (Multi Factor Authentication) shall be provided with the approval of concerned HOD/HOP as per “Virtual Private Network (VPN) Policy” of Cyber Security Policy.","1. This shall enable the employees to access NHPC’s IT-Network, applications, email services etc. from anywhere using internet.

2. To access these services, secured access of NHPC IT-Network through SSL-VPN with MFA (Multi Factor Authentication) shall be provided with the approval of concerned HOD/HOP as per “Virtual Private Network (VPN) Policy” of Cyber Security Policy."
What is the usable life of it systems?,"The IT&C infrastructure is a dynamic structure and is forever changing both in hardware & software with the changes in technology. While the software changes take place less rapidly as compared to hardware changes, life of equipment needs to be defined due to fast obsolescence of hardware and increased requirement of system resources to cope up with latest software. However, the life of the IT equipment shall be reviewed from time to time. 

Desktop PCs: 5 Years
Servers: 6 Years
Laptops: 3 Years
Peripherals - Printers: 5 Years
Switches/ Routers/ Firewall/ Network Equipment/ modems: 6 Years
iPAD/Tablets: 3 Years
Video Conferencing equipments: 6 Years
Communication Equipment: 6 Years
Network Monitoring Equipment: 6 Years
Network Attached Storage System: 6 Years
Offline UPS / Online UPS: 5 Years
Digital Camera/Video Camera: 6 Years
Scanner: 5 Years
Others: 6 Years","The IT&C infrastructure is a dynamic structure and is forever changing both in hardware & software with the changes in technology. While the software changes take place less rapidly as compared to hardware changes, life of equipment needs to be defined due to fast obsolescence of hardware and increased requirement of system resources to cope up with latest software. However, the life of the IT equipment shall be reviewed from time to time. 

Desktop PCs: 5 Years
Servers: 6 Years
Laptops: 3 Years
Peripherals - Printers: 5 Years
Switches/ Routers/ Firewall/ Network Equipment/ modems: 6 Years
iPAD/Tablets: 3 Years
Video Conferencing equipments: 6 Years
Communication Equipment: 6 Years
Network Monitoring Equipment: 6 Years
Network Attached Storage System: 6 Years
Offline UPS / Online UPS: 5 Years
Digital Camera/Video Camera: 6 Years
Scanner: 5 Years
Others: 6 Years"
What is the usable life of desktop pc?,5 Years,5 Years
What is the usable life of servers?,6 Years,6 Years
What is the usable life of laptops?,3 Years,3 Years
What is the usable life of printers?,5 Years,5 Years
What is the usable life of switches/routers/firewall/network equipment/modems?,6 Years,6 Years
What is the usable life of ipad/tablets?,3 Years,3 Years
What is the usable life of video conferencing systems?,6 Years,6 Years
What is the usable life of communication equipment?,6 Years,6 Years
What is the usable life of network monitoring equipment?,6 Years,6 Years
What is the usable life of network attached storage?,6 Years,6 Years
What is the usable life of offline/online ups?,5 Years,5 Years
What is the usable life of digital camera/video camera?,6 Years,6 Years
What is the usable life of scanner?,5 Years,5 Years
What is the usable life of other IT equipment?,6 Years,6 Years
When should it systems be disposed?,"All IT, networking and communication equipment which have become obsolete or damaged (beyond economical repair) or have lived its usable life shall be de-commissioned and disposed-off as per “Disposal Policy for IT Hardware” keeping in view the Cyber Security Policy.","All IT, networking and communication equipment which have become obsolete or damaged (beyond economical repair) or have lived its usable life shall be de-commissioned and disposed-off as per “Disposal Policy for IT Hardware” keeping in view the Cyber Security Policy."
Give information about development and maintenance of inhouse software.,Any requirement for development of a new software application or addition/ removal of functionality in the existing application shall be dealt as per Clause 12 “Application Software Development & Support Policy” of Cyber Security Policy and ISMS procedures/ controls.,Any requirement for development of a new software application or addition/ removal of functionality in the existing application shall be dealt as per Clause 12 “Application Software Development & Support Policy” of Cyber Security Policy and ISMS procedures/ controls.
Explain the infrastructure of IT&C division in NHPC.,"1. All locations should have robust Local Area Network (LAN)/ Wide Area Network (WAN) consisting of wired & wireless LAN system and following network infrastructure:
2. All network equipment should be purchased with minimum 3 to 5 years warranty or till the specified life span of IT equipment, if possible.
3. All locations should have locally managed LAN with proper authentication and authorization of domain users through the use of Domain Controller.
4. LAN must consist of Domain Server, Additional Domain Controller Server, Anti-Virus Server, Manageable Switches, Routers, Firewall / UTM, NAS and Controller based Wireless LAN solution etc.
5. Internet connectivity for all the users should be provided through internet leased line. Internet lease line shall be terminated on a firewall and internet access to the users should be provided with proper authentication and authorization.
6. R.O./Projects/Power stations/Units based on their requirement shall take internet leased line from locally available ISP in consultation of IT&C Division, CO.
7. Internet access at Projects/Power stations/ R.O./Units shall also be provided through MPLS/VSAT link from Corporate Office for control room and other important locations.
8. All Projects/Power Stations/ROs/LOs should have at least 2 numbers of Internet connections, out of which one connection is desired to be of minimum 50 Mbps bandwidth speed and shall be configured to function in case of failover.
9. EDR/ Anti-virus should be installed on all the systems connected in the network and managed through a central EDR/Anti-virus server.
10. All Projects/Power Stations/RO/units shall have IP telephones installed at HoP Office, Dam and Power house. 
11. All Projects/ Power Stations should have at least one ISAT phone installed at their location to enable communication in case of disastrous situation. 
12. All Projects/ Power Stations/ units shall have PTZ camera and NVR installed at all critical locations like construction site/ Power House/ Dam etc. for centralized monitoring and surveillance. 
13. In addition to critical locations, CCTV cameras are also to be provided in colonies, market, guest house, schools located in Projects vicinity for security point of view. 
14. CCTV network may be kept separate from office LAN.
15. Remote locations within the Project like Power House, Dam site, central store, guest house etc. should be connected with administrative building through OFC. If OFC connectivity is not feasible than other means may be explored.
16. Arrangements should also be made to provide view of camera placed at certain locations like Dam, Power House, construction sites to CO by utilizing LAN/ WAN of NHPC.
17. Network of associated agencies like Security/School etc shall be kept separate from Office LAN.
18. In addition to above all guidelines as mentioned in Cyber Security Policy may also be complied.","1. All locations should have robust Local Area Network (LAN)/ Wide Area Network (WAN) consisting of wired & wireless LAN system and following network infrastructure:
2. All network equipment should be purchased with minimum 3 to 5 years warranty or till the specified life span of IT equipment, if possible.
3. All locations should have locally managed LAN with proper authentication and authorization of domain users through the use of Domain Controller.
4. LAN must consist of Domain Server, Additional Domain Controller Server, Anti-Virus Server, Manageable Switches, Routers, Firewall / UTM, NAS and Controller based Wireless LAN solution etc.
5. Internet connectivity for all the users should be provided through internet leased line. Internet lease line shall be terminated on a firewall and internet access to the users should be provided with proper authentication and authorization.
6. R.O./Projects/Power stations/Units based on their requirement shall take internet leased line from locally available ISP in consultation of IT&C Division, CO.
7. Internet access at Projects/Power stations/ R.O./Units shall also be provided through MPLS/VSAT link from Corporate Office for control room and other important locations.
8. All Projects/Power Stations/ROs/LOs should have at least 2 numbers of Internet connections, out of which one connection is desired to be of minimum 50 Mbps bandwidth speed and shall be configured to function in case of failover.
9. EDR/ Anti-virus should be installed on all the systems connected in the network and managed through a central EDR/Anti-virus server.
10. All Projects/Power Stations/RO/units shall have IP telephones installed at HoP Office, Dam and Power house. 
11. All Projects/ Power Stations should have at least one ISAT phone installed at their location to enable communication in case of disastrous situation. 
12. All Projects/ Power Stations/ units shall have PTZ camera and NVR installed at all critical locations like construction site/ Power House/ Dam etc. for centralized monitoring and surveillance. 
13. In addition to critical locations, CCTV cameras are also to be provided in colonies, market, guest house, schools located in Projects vicinity for security point of view. 
14. CCTV network may be kept separate from office LAN.
15. Remote locations within the Project like Power House, Dam site, central store, guest house etc. should be connected with administrative building through OFC. If OFC connectivity is not feasible than other means may be explored.
16. Arrangements should also be made to provide view of camera placed at certain locations like Dam, Power House, construction sites to CO by utilizing LAN/ WAN of NHPC.
17. Network of associated agencies like Security/School etc shall be kept separate from Office LAN.
18. In addition to above all guidelines as mentioned in Cyber Security Policy may also be complied."
Explain the working of IT & C division in NHPC.,"1. IT&C Division Corporate Office shall use various IT&C infrastructure services like Ku-band VSATs/ MPLS leased line, ILL, Datacentre services etc. on ownership/hiring basis from BSNL/NICSI/other MeitY approved agencies. Following IT&C infrastructure services may be acquired / hired:
2. Co-location services from BSNL/NICSI etc.
3. Data centre services for hosting, from BSNL/NICSI etc.
4. Hiring of Storage solution such as SAN from NICSI/BSNL etc.  
5. Compute node/Virtual Machines may preferably be hired from BSNL/NICSI etc.
6. Infrastructure as a service (IaaS)/ Platform as a service (PaaS)/ Software as a service (SaaS) etc. shall be hired as per guidelines issued by MeitY for procurement of Cloud services. These hired services shall be used for the purpose of hosting Intranet/ Website and various in-house developed software applications etc. on Cloud. 
7. Communication infrastructure like MPLS-VPN/ leased lines/ VSAT etc.
8. MPLS link at Power Stations through OPGW connectivity with necessary equipment & SDWAN router.
9. Bulk-SMS service.
10. Multi-Factor Authentication (MFA). 
11. Internet leased line.
12. Hiring of webcasting services for major/important events.
13. Hiring of NIC’s manpower support for Running & Maintenance of NIC applications such as eOffice, GePNIC etc. 
14. Development and maintenance services for mobile based application software (Saksham, Sachal, Urja Darpan apps etc.)","1. IT&C Division Corporate Office shall use various IT&C infrastructure services like Ku-band VSATs/ MPLS leased line, ILL, Datacentre services etc. on ownership/hiring basis from BSNL/NICSI/other MeitY approved agencies. Following IT&C infrastructure services may be acquired / hired:
2. Co-location services from BSNL/NICSI etc.
3. Data centre services for hosting, from BSNL/NICSI etc.
4. Hiring of Storage solution such as SAN from NICSI/BSNL etc.  
5. Compute node/Virtual Machines may preferably be hired from BSNL/NICSI etc.
6. Infrastructure as a service (IaaS)/ Platform as a service (PaaS)/ Software as a service (SaaS) etc. shall be hired as per guidelines issued by MeitY for procurement of Cloud services. These hired services shall be used for the purpose of hosting Intranet/ Website and various in-house developed software applications etc. on Cloud. 
7. Communication infrastructure like MPLS-VPN/ leased lines/ VSAT etc.
8. MPLS link at Power Stations through OPGW connectivity with necessary equipment & SDWAN router.
9. Bulk-SMS service.
10. Multi-Factor Authentication (MFA). 
11. Internet leased line.
12. Hiring of webcasting services for major/important events.
13. Hiring of NIC’s manpower support for Running & Maintenance of NIC applications such as eOffice, GePNIC etc. 
14. Development and maintenance services for mobile based application software (Saksham, Sachal, Urja Darpan apps etc.)"
